Coin,Description,Rank,Price,Price - Currency,Price Change % 24 hours,Market capitalization,Market capitalization - Currency,Volume in USD 24 hours,Volume in USD 24 hours - Currency,Circulating supply,Volume / Market Capitalization,Social dominance %,Category,Technical Rating 1 day
USDP,Pax Dollar,480,0.99953,USD,0,55543337.57755133,USD,2138929.01330443,USD,55569455.22150543,0.03850919131962481,0.0285,"Stablecoins, Asset-backed stablecoins, Cryptocurrencies, Fiat-backed stablecoins",Sell
FIRO,Firo,602,2.1124,USD,-2.1438162707783492,37937794.70558666,USD,851032.74554574,USD,17959569.54439815,0.022432319858075946,0.1339,"Privacy, Cryptocurrencies",Neutral
MTL,Metal DAO,639,0.39769,USD,1.1239097820835506,34861400.01215,USD,1445722.02262092,USD,87659735,0.041470566934117756,0.03511500754147813,"Cryptocurrencies, Payments",Sell
ETN,Electroneum,672,0.0017905,USD,11.529836800797302,32192863.42096468,USD,806416.8021696,USD,17979817604.56,0.025049551871935822,0.0329,"Cryptocurrencies, Payments, Layer 1",Sell
ELON,Dogelon Mars,701,5.5135e-8,USD,2.601559446935998,30305105.482748624,USD,1902553.99097013,USD,549652770159583.3,0.0627799824703851,0.04725207390648567,"Memes, Cryptocurrencies, Animal memes",Sell
FORTH,Ampleforth Governance Token,764,1.7914,USD,2.4359560841720147,25695042.911120027,USD,1817463.46889251,USD,14343554.15380151,0.070732065915561,0.00789498491704374,"Cryptocurrencies, DAO",Sell
PIVX,PIVX,817,0.22791,USD,7.265440829797256,22395572.909982983,USD,5873289.9568511,USD,98264985.78378738,0.2622522755036572,0.0667,"Privacy, Cryptocurrencies, DAO",Neutral
THE,Thena,903,0.14721,USD,1.7697891462150066,17476672.221086968,USD,6172808.65525222,USD,118719327.63458301,0.3532027480497257,0.08366327300150829,"Cryptocurrencies, Smart contract platforms, Decentralized exchange, DeFi, Analytics, Web3, Exchange tokens",Sell
QUAI,Quai Network,980,0.018812,USD,-5.168426344896939,14720097.605083998,USD,792439.44759934,USD,782484457,0.05383384464282688,0.02981240573152338,"Privacy, Cryptocurrencies, Smart contract platforms, Layer 1, Made in America",Sell
GRS,Groestlcoin,995,0.15873,USD,3.985031512605036,14107161.113041643,USD,658409.07533643,USD,88875203.88736624,0.04667197532235956,0.0025923831070889893,Cryptocurrencies,Sell
OMG,OMG Network,1032,0.091423,USD,1.303090407437378,12821655.043764774,USD,1968860.68150039,USD,140245398.24513277,0.1535574521994222,0.0226,"Cryptocurrencies, Scaling, Payments",Sell
PPC,Peercoin,1156,0.32507,USD,-1.0862950340798327,9722545.0462812,USD,52868.58048722,USD,29909081.26336235,0.005437730577287666,0.005,"Cryptocurrencies, Payments",Sell
XEM,NEM,1200,0.0010046,USD,-1.2678132678132614,9041399.998995401,USD,1476781.56476595,USD,8999999999,0.16333549726038407,0.0432,"Cryptocurrencies, Smart contract platforms, Enterprise solutions",Sell
GRIN,Grin,1205,0.041383,USD,2.5321473699858825,8925858.71466,USD,16443.31645602,USD,215689020,0.001842211150957743,0.010840874811463046,"Privacy, Cryptocurrencies",Strong buy
USDUC,Unstable Coin,1350,0.0063834,USD,11.067812532618907,6382865.289495225,USD,1109675.4082738,USD,999916234.216127,0.17385223687864423,0.0811,"Memes, Cryptocurrencies",Sell
MAY,Mayflower AI,1374,0.017703,USD,-0.02823582561554964,5909803.747549102,USD,2737589.59139097,USD,333830635.9119416,0.46322851118809083,0.020856900452488687,"Cryptocurrencies, Data management and AI, DeFi",Sell
BEAM,Beam,1434,0.032837,USD,-6.641457936485386,4950294.64972,USD,105181.57842618,USD,150753560,0.021247538958540438,,"Privacy, Cryptocurrencies, DeFi",Sell
NAV,Navio,1549,0.0503,USD,1.5423126614987097,3941562.324,USD,51960.08924349,USD,78361080,0.013182612622184686,0.0045,Cryptocurrencies,Sell
VOLT,Volt Inu,1550,7.1861e-8,USD,1.118678411617372,3935560.1603706907,USD,276825.91163676,USD,54766287142827,0.07033964679901773,0.0616,"Memes, Cryptocurrencies, Decentralized exchange, Gaming, Data management and AI, NFTs and collectibles, Payments, DeFi, DAO, Exchange tokens, Animal memes",Sell
NEXA,Nexa,1562,6.5579e-7,USD,-3.371299748036602,3842680.1998,USD,42149.48127114,USD,5859620000000,0.010968771555159275,0.02627733785822021,"Cryptocurrencies, Smart contract platforms, Scaling, DeFi",Sell
XEP,Electra Protocol,1673,0.00016853,USD,-0.6422342682064606,3085583.55797262,USD,108074.96266534,USD,18308808864.72806,0.03502577733994362,0.016,"Cryptocurrencies, Smart contract platforms, NFTs and collectibles, Interoperability, Logistics, Real-world assets",Sell
DINGO,Dingocoin,1790,0.000019357,USD,-0.5088404605263169,2228434.918992464,USD,209613.6324539,USD,115122948752,0.09406316095094759,0.003,"Memes, Cryptocurrencies, Payments",Strong sell
VEX,Vexanium,1892,0.0024508,USD,5.112369188540052,1798010.4973732,USD,,,733642279,,0.0038,"Cryptocurrencies, Smart contract platforms, Enterprise solutions",Sell
OPTI,Optimus AI,2147,0.010466,USD,3.265910212136159,994635.6715739999,USD,69394.39986153,USD,95034939,0.06976866187768445,0.0027,"Memes, Cryptocurrencies, Data management and AI",Sell
HUAHUA,Chihuahua,2148,0.000010536,USD,5.097256857855369,985642.8,USD,9139.72750975,USD,93550000000,0.00927285981265221,0.0012961915535444947,"Memes, Cryptocurrencies, Payments, Layer 1, Animal memes",Sell
ANML,Animal Concerts,3264,0.000016353,USD,0.8075453088398423,3679.425,USD,12420.76447094,USD,225000000,3.3757351952927426,0.000471342383107089,"Cryptocurrencies, Gaming, NFTs and collectibles, Social media and content, Metaverse, Marketplace",Sell
